		lágyszárúaknál és fáknál				többnyire lágyszárúaknál			csak fáknál				hasonló növény										
Saláta galambbegy	Valerianella olitoria	ernyő	lándzsás	fűrészes	ülő	5 tagú	fehér	hengeres				Fiatal, zsenge levelei kellemes ízűek, a kerti saláta ízére emlékeztetnek, és ugyanúgy lehet őket felhasználni. Remek tavaszi vitaminforrás. Téli cikóriának is hívják. Szára vékony, felálló. Leveleinek nagy része tőálló, fordított tojásdad vagy lándzsa alakú, ép vagy enyhén fűrészes szélű, lágy tapintású. A szárlevelek inkább lándzsa alakúak, hegyes csúcsúak, ép vagy fűrészes szélűek, ülőek. A virágok az elágazó száron több ernyőben nyílnak. Fehérek vagy halványkékek, némi zöldes árnyalattal, nem feltűnőek. Öt szirom alkotja őket. Termése kaszat. Március végétől virágzik nedves talajú helyeken, patakok partján, üde erdők szélén, kertekbe is bevándorol.											
Sallangos gólyaorr	Geranium dissectum	magányos	osztott	ép	nyeles	5 tagú	bíbor	hengeres				A gólyaorr és gémorr fajok apró magjaik terjesztésére érdekes és hatékony módszert „dolgoztak ki”: a hosszú toktermés a levegő páratartalmának változására vagy érintésre felpattan és szétlövi a magokat. Szára félig heverő, vékony. Az egész növény borzasan szőrös. Osztott levelei kerekdedek, általában öt részre hasadtak, és a szeletek még további karéjokra oszlanak. Az apró, de élénk színű virágok egyesével vagy kettesével állnak. Termése a gólya csőrére emlékeztető tok. Egész nyáron virágzik nyílt területeken: réteken, mezőgazdasági területeken, utak szélén.											
Sápadt lednek	Lathyrus pallescens	fürt	lándzsás	ép	nyeles	pillangós	sárga	szögletes				Az egyik legritkább lednekfélénk. Hazai állománya erősen megritkult, sok helyen megerősítésre szorul. Biztos állománya található a Mátrai Tájvédelmi körzetben. A hazánkban gyakoribb Magyar lednekkel könnyen összetéveszthető, de míg az utóbbi teljesen kopasz, az előbbi finoman pelyhes, szőrökkel borított. Hazai állománya sok helyen megerősítésre szorul. Biztos állományai a Mátra hegységben találhatóak. Évelő 20 – 40 cm-es magasságot elérő pillangós növény. Levelei párosan szárnyaltak, szálas-lándzsa alakúak. Virágai sápadt sárga, vagy akár fehéressárga színben pompáznak. Termése hüvelytermés. Védett, természetvédelmi értéke: 5000 Ft.											
Sárga árvacsalán	Lamium galeobdolon	fürt	tojásdad	csipkés	nyeles	ajakos	sárga	szögletes				Május június környékén virágzó főleg bükkösökben előforduló évelő növény. Nedves talajú erdőkben, bükkösökben előforduló évelő növény. Akár fél méter magasra is megnőhet, levelei keresztben átellenesek, fűrészes szélűek, a szárhoz nyéllel kapcsolódnak. Május – június között láthatjuk álörvökben álló sárga színű virágait amik a levélhónaljban helyezkednek el. A népi gyógyászat a levelét és a virágát is gyűjti, a belőle készült ülőfürdő vesegyulladás ellen hatásos. Sok gyógyteakeverék alkotórésze.											
Sárga borkóró	Thalictrum flavum	bog	hasogatott	ép	nyeles	egyedi*	sárga	hengeres				Halványsárga, érdekes virágzata miatt feltűnő növény. Hazánkban több borkóró faj él, például a kékes vagy Pannon borkóró, amely védett. 50-120 cm-es, nagy termetű növény. Levelei a száron szórtan helyezkednek el, összetettek többszörösen szárnyaltak, kékeszöld árnyalatúak, a levélkék csúcsa hármasan karéjos. Virága halvány sárgásfehér. Virágzáskor a szirmok lehullanak, a kinyúló porzók miatt a virág olyan, mint egy tollpamacs. Június-augusztusban virít mocsár és lápréteken, vízpartokon. Termése a boglárkafélékre jellemző aszmag.											
Sárga borsócserje	Caragana arborescens	magányos	szárnyalt	ép	nyeles		sárga		sima	barna	hüvely	ína egy részén, Szibériában és Kazahsztánban őshonos cserjefaj. Nevét a borsóéhoz hasonló hüvelyterméséről kapta. Gyorsan növő cserjeféle, végső magassága ritkán haladja meg az 5 métert. Levelei szárnyaltak, a levélkék felülete gyakran szürkén molyhos. Sárga színű pillangós virágai hosszú kocsányokon állnak el a hajtásoktól. Termése ehető. Fájának nincs gazdasági jelentősége, őshonos területein a szél és talajerózió elleni védekezésben használják.											
Sárga fogfű	Odontites lutea	buga	lándzsás	ép	ülő		sárga	hengeres				Latin nevükben is szerepel a fog ( dent) szó. A fogfű nemzetségnem három faja fordul elő Hazánkban. Félélősködő fajok: levelei tartalmaznak zöld színanyagot, képesek a fotoszintézisre, de a vizet és tápanyagokat a gazdanövénytől veszik el. Nevüket arról kapták, hogy a felső szirmok összehajlanak, közülük pedig úgy lóg ki a porzó, mint a fogak a szájból. Vékony, vöröses szára elágazik, levelei keskenyek, lándzsa alakúak, ép szélűek. Sárga színű virágai több , egy oldalra néző füzér alkotta bugában virágoznak. A hosszú, kilógó porzószálak jellegzetesek. Száraz, meleg, nyílt gyepek, rétek, domboldalak növények, nyár végén virágzik.											
Sárga gyűszűvirág	Digitalis grandiflora	fürt	lándzsás	fűrészes	lefutó	forrt	sárga	hengeres				Szívgyógyszer alapanyaga, de házilag nem szabad alkalmazni, mert erősen mérgező. A hosszú fürtben csüngő virágok gyűszűre emlékeztetnek, innen kapták nevüket. 40-100 cm magas évelő. Szára felálló, mirigyszőrös. Levelei szórtan helyezkednek el a száron, lándzsa alakúak, szélük finoman fűrészes. Színükön fényesek, fonákjukon molyhosak lehetnek. Az egész szár leveles, méretük felfelé haladva csökken. Virágai egy oldalra néző fürtben nyílnak, színük sárga, sárgásbarna, 3-5 cm nagyságú. Termése háromrekeszű tok, mely eleinte zöld, éretten világosbarna, sok apró fekete maggal. A toktermésen a bibe maradványa látható. Június-augusztusban találkozhatunk vele tölgyesekben, útbevágásban, suvadásokban.											
Sárga hagyma	Allium flavum	fejecske	szálas	ép	tőálló	6 tagú	sárga	hengeres				Régóta termelt és kedvelt növények a hagymafélék, melyek a liliomfélék közé tartoznak. Vadon élő példányaik gumója sokkal kisebb, de a virágok szín és formagazdagság tekintetében is fölülkerekednek nemes rokonaikon Mintha egy tűzijáték szétrobbanó rakétáját látnánk, ha a sárga hagyma virágára pillantunk: a hosszú kocsányok végén himbálózó apró virágok ezt a hatást keltik. A fejecske virágzatba tömörült virágok a vékony, hengeres szár csúcsún ülnek. Levelei tőállóak, nagyon keskeny szálasak, hegyes végűek, henger alakúak, jellegzetes hagyma illatot árasztanak. Termése apró tok, mely sok magot rejt, de a hagymafélék sarjhagymákkal is szaporodnak, melyek néha a virágzatban találhatók. Száraz gyepeken, sziklalejtőkön, bokorerdők tisztásain virágzik május-június hónapokban. Olykor tömegesen jelenik meg.											
Sárga ibolya	Viola biflora	magányos	szív	fűrészes	nyeles	5 tagú	sárga	hengeres				Az ibolyákat mindenki ismeri, a tavasz kedves, illatos növényei. Néhány faj kivételével gyakori vadvirágok. A sárga ibolya jégkori maradványfaj. Kis termetű, feltűnő virágszíne ellenére elég nehezen vehető észre. Levelei vagy összenyomott szív vagy vese alakúak, fűrészes szélűek, erőteljes erezetűek. A levelek fölé tőkocsányon emelkednek a sárga színű virágok. A kb. 1 cm nagyságú virágokat öt szirom alkotja, ebből négy egyszínű, az ötödik, alsó szirom sötétbarnán csíkozott. Termése öt rekeszű tok. Hazánkban csak egy helyen, a Bükk-hegységben, a Leány-völgyben fordul elő. A képek itt és a Magas-Tátrában készültek.											
Sárga kövirózsa	Jovibarba hirta	bog	lándzsás	fogas	ülő	6 tagú	sárga	hengeres				Gyógynövényként igen érdekes módon használják fel: állítólag a nyers növényből préselt lé a fülbe csepegtetve elmulasztja a fülfájást. Hazánk védett faja, eszmei értéke 2000 forint. Virágtalan állapotban csak gömbölyű tőlevélrózsái láthatóak, melyek borsószem nagyságútól szilva méretűig nőnek meg. A levelek hegyes végűek, finoman fűrészes szélűek. Virágzáskor a növény megnyúló szárán pikkelyszerű levelek láthatóak. Sárga színű virágai a 10-20 cm magas szár végén bogernyőben nyílnak. A virágok harang vagy tölcsér alakúak, a hat szirom széle pillás-rojtos. Apró, leváló sarjnövénykékkel szaporodik. Sziklarepedések, sziklagyepek, kőfalak virága. Június-szeptember között virágzik, de húsos levelű gömbjeit egész évben megtalálhatjuk.											
Sárga len	Linum flavum	sátorozó	lapát	ép	tőálló	5 tagú	sárga	hengeres				Évezredek óta hasznosított növénye a len, amelyet szövetek, kötél, vászon előállítására termesztettek és termesztenek. Hosszas feldolgozás (aratás, szárítás, gubózás, osztályozás, feltárás, áztatás, szárítás, törés, tilolás, gerebenezés) után készül a len A sárga virágú lenfajok kevésbe gyakoriak, mint a kék árnyalatú fajok. Egyik leghíresebb képviselőjük a pilisi vagy pilisszentiváni len (dolomit lennek is hívják), endemikus reliktum faj. A sárga len azonban ennél jóval nagyobb teremtű ( a pilisi len törpecserje), 10-40 cm magas. Levelei szálas lándzsásak, enyhén kékes árnyaltúak (hamvasak), hegyes csúcsúak, ép szélűek. Virágai élénksárgák, a szirmok vége lekerekített. Termése gömbölyű tok. Sziklagyepek, füves lejtők, nyílt rétek virága. Nem ajánlatos csokorba gyűjteni, mert egyrészt védett ( eszmei értéke 5000 forint), másrészt a leszedett len nagyon gyorsan elhullatja szirmait. Június-augusztusban virágzik.											
Sárga nőszirom	Iris pseudacorus	magányos	kard	ép	szárölelő	6 tagú	sárga	hengeres				Főleg mocsarakban, alföldön gyakori nősziromféle. Nem ritkán az egy méteres magasságot is eléri. A hazai flórában előforduló nősziromfélék közül a legnagyobb és a leggyakoribb. Szára akár az 1 méteres magasságot is meghaladhatja, üreges, kissé lapítottan hengeres. Levelei általában 1cm-nél szélesebbek, 70 cm hosszúak, kard alakúak. 3 nagy sárga színű külső lepelleveléről könnyen felismerhető. Termése toktermés amely éretlenül zöld, majd a terméséréskor barna színű. A hazánkban élő többi nősziromfélével ellentétben nem védett, bár 1993-ig a védettséget élvezett a többi védettt nősziromféléhez való hasonlósága miatt											
Sárga tyúktaréj	Gagea lutea	ernyő	lándzsás	ép	tőálló	egyedi*	sárga	hengeres				Népiesen sárga madárliliomnak is nevezik. Nagyon korán, már márciusban virágzik. Virágait a délelőtti órákban nyitja, később becsukódik. Gyökerén két vízszintes és egy ezektől leváló hagymája van. Kis termetű kora tavaszi virág. Egyetlen hosszú, keskeny tőlevelet fejleszt, melynek vége sapkaszerűen összeborul. Szárleveleinek széle molyhos, átellenes állásúak. Virágai ernyőre hasonlító virágzatban nyílnak a szár végén. A sárga színű, hat hegyes csúcsú lepel alkotta virágok hosszú kocsányon ülnek, ezeknek hosszúsága eltérő. Termése apró tok. Március és május között találkozhatunk vele üde lomberdőkben, például bükkösökben és gyertyános tölgyesekben, vagy patakparti ligeterdőkben. Bár nem védett, Hazánkban ritka.											
Sárkerep lucerna	Medicago falcata	fejecske	összetett	fűrészes	nyeles	pillangós	sárga	hengeres				A pillangósok közé tartozó lucerna fajoknak majdnem egy tucat képviselője él hazánkban, amiből kettő védett. Termetre, levél-és virágalakra nézve a takarmány lucernához nagyon hasonló faj. Levelei hármasan összetettek, a levélkék keskeny lándzsásak, keskenyebbek a takarmány lucernánál. A nemzetségre jellemző, hogy a középső levélke levélkenyele hosszabb a két oldalsóénál. Virágai sárga színűek, tömött fejecskében nyílnak. Termése hüvely, mely nem csavarodik fel, hanem görbült ( C alakú). Száraz rétek virága.											
Sárkutyatej	Euphorbia esula	fürt	szálas	ép	ülő	egyedi*	sárga	hengeres				Szárukat vagy levelüket megtörve a nemzetség tagjai fehér tejnedvet eresztenek, mely mérgező, bőrirritáló hatású is lehet. Az olyan növények, amelyeknek nevében a kutya, eb vagy farkas szó szerepel, nagyrészt mérgezőek (ebszőlő csucsor, farkasölő sisakvir Hengeres, felálló szárú évelő. Levelei ép szélűek, osztatlanok, szálasak vagy fordított tojásdadok. Főleg nagyobb termetű példányoknál fordul elő, hogy a nagy levelek saját súlyuknál fogva lekonyulnak, mintha megfonnyadt volna a növény. A száron szórtan, nyél nélkül helyezkednek el. Sárgászöld vagy sárga virágai fürtöt alkotnak. A virágok igen aprók, redukáltak. Sárgászöld, összenőtt gallér övezi őket, a mézfejtők pedig körbeveszik őket. Termése tok. Nedves réteken, patakpartokon virágzik április-májusban.											
Sarlós gamandor	Teucrium chamaedrys	fürt	tojásdad	csipkés	nyeles	ajakos	lila	szögletes				Gyógynövény, gyomor-és bélrenyheség ellen használják. Kellemes illata miatt kertekbe is ültetik. Mint az ajakosak nagy része, tartalmaz illóolajokat. Alacsony termetű ajakos növény. Szára néha félig kúszó, töve enyhén fásodik. A tojásdad levelek széle csipkés vagy fogazott, rövid nyéllel átellenesen csatlakoznak a szárhoz. A lila vagy rózsaszín árnyalatú ajakos virágok örvökben nyílnak, forrt csészelevelei hegyes csúcsúak. Termése makkocska, de sokkal gyorsabban szaporodik kúszó hajtásaival. Száraz, meleg sziklás lejtők, rétek virágai, május-július között virít.											
Sármányvirág	Sideritis montana	füzér	lándzsás	ép	ülő	ajakos	barna	szögletes				Nemzetségének egyetlen honi képviselője. Még virágos állapotban sem feltűnő, egész könnyen téveszthető a keresztfűvel, míg virágát közelről meg nem szemléljük. 10-15 cm, néha magasabb, karcsú, szögletes szárú évelő. Az egész növény sűrűn, fehéren szőrös (mint az apró keresztfű). Levelei lándzsás alakúak, 1-2 cm hosszúak, ép szélűek, átellenes állásúak. A levélpárok tövéből oldalhajtások erednek, vagy itt ülnek örvben a virágok. A hegyes csészelevelek összenőttek, az apró, alig mm-es ajakos virágok sötétlilák (majdnem feketék), vagy barnák, sárga rajzolattal. Termése makkocska. Száraz, nyílt gyepek, rétek virága, júniusban virágzik.											
